Inventory_ID,Product_ID,Store_ID,Stock,Reorder_Level,Last_Updated,Warehouse_ID,Stock_Status
INV00190,P0179,S036,15,74,2024-09-01,W019,Low Stock
INV00191,P0063,S067,110,147,2024-02-07,W008,Low Stock
INV00192,P0352,S086,871,317,2024-08-03,W013,Adequate
INV00193,P0231,S086,712,199,2024-05-06,W014,Adequate
INV00194,P0241,S049,106,442,2024-03-12,W015,Low Stock
INV00195,P0052,S076,378,301,2024-08-13,W017,Adequate
INV00196,P0096,S055,161,133,2024-11-10,W015,Adequate
INV00197,P0388,S085,282,334,2024-10-10,W010,Low Stock
INV00198,P0222,S056,268,221,2024-10-28,W001,Adequate
INV00199,P0485,S068,483,270,2024-09-02,W012,Adequate
INV00200,P0407,S095,666,158,2024-03-11,W009,Adequate
INV00201,P0231,S044,1096,76,2024-07-13,W005,Adequate
INV00202,P0237,S031,1220,295,2024-02-07,W015,Adequate
INV00203,P0143,S058,1266,104,2024-04-26,W003,Adequate
INV00204,P0171,S087,597,182,2024-08-25,W019,Adequate
INV00205,P0029,S053,798,101,2024-12-29,W007,Adequate
INV00206,P0036,S084,1282,302,2024-07-22,W007,Adequate
INV00207,P0013,S079,797,318,2024-12-16,W007,Adequate
INV00208,P0160,S023,1172,347,2024-11-14,W002,Adequate
INV00209,P0327,S028,1890,448,2024-12-24,W002,Adequate
INV00210,P0187,S016,389,128,2024-01-05,W012,Adequate
INV00211,P0243,S037,415,67,2024-06-05,W005,Adequate
INV00212,P0086,S021,425,355,2024-04-16,W004,Adequate
INV00213,P0284,S079,996,307,2024-08-15,W007,Adequate
INV00214,P0066,S017,1725,392,2024-05-21,W016,Adequate
INV00215,P0170,S037,1240,156,2024-11-09,W003,Adequate
INV00216,P0045,S077,1951,446,2024-06-20,W002,Adequate
INV00217,P0062,S019,866,96,2024-05-25,W017,Adequate
INV00218,P0441,S030,85,295,2024-01-07,W009,Low Stock
INV00219,P0134,S045,1239,138,2024-12-08,W020,Adequate
INV00220,P0284,S018,422,252,2024-12-18,W008,Adequate
INV00221,P0028,S078,1343,483,2024-10-27,W012,Adequate
INV00222,P0108,S062,117,289,2024-01-16,W007,Low Stock
INV00223,P0044,S036,1949,317,2024-11-15,W014,Adequate
INV00224,P0340,S100,958,62,2024-02-06,W016,Adequate
INV00225,P0286,S084,881,186,2024-06-01,W001,Adequate
INV00226,P0446,S052,991,364,2024-09-21,W010,Adequate
INV00227,P0331,S019,414,222,2024-07-01,W011,Adequate
INV00228,P0128,S044,598,279,2024-06-04,W007,Adequate
INV00229,P0348,S007,39,247,2024-05-16,W018,Low Stock
INV00230,P0473,S044,1184,292,2024-03-30,W019,Adequate
INV00231,P0231,S068,702,92,2024-08-05,W014,Adequate
INV00232,P0190,S034,536,379,2024-11-25,W017,Adequate
INV00233,P0225,S066,419,328,2024-07-04,W019,Adequate
INV00234,P0385,S069,663,128,2024-07-27,W013,Adequate
INV00235,P0377,S055,94,478,2024-02-20,W003,Low Stock
INV00236,P0283,S010,1465,328,2024-10-14,W002,Adequate
INV00237,P0446,S096,1958,281,2024-03-28,W009,Adequate
INV00238,P0121,S042,1581,150,2024-05-15,W007,Adequate
INV00239,P0116,S041,972,211,2024-06-06,W014,Adequate
INV00240,P0461,S077,649,193,2024-10-08,W005,Adequate
INV00241,P0233,S069,1489,496,2024-06-03,W020,Adequate
INV00242,P0259,S010,287,158,2024-08-07,W015,Adequate
INV00243,P0359,S010,1888,484,2024-06-15,W020,Adequate
INV00244,P0198,S091,1699,282,2024-11-17,W001,Adequate
INV00245,P0456,S060,411,160,2024-06-27,W020,Adequate
INV00246,P0411,S051,399,465,2024-11-24,W007,Low Stock
INV00247,P0137,S021,527,471,2024-02-19,W005,Adequate
INV00248,P0318,S008,1041,281,2024-10-27,W004,Adequate
INV00249,P0165,S065,135,489,2024-03-27,W011,Low Stock
INV00250,P0225,S092,1487,287,2024-02-02,W019,Adequate
INV00251,P0307,S078,758,246,2024-10-01,W006,Adequate
INV00252,P0234,S085,1271,322,2024-05-20,W020,Adequate
INV00253,P0172,S030,842,135,2024-07-24,W018,Adequate
INV00254,P0152,S085,709,344,2024-08-11,W005,Adequate
INV00255,P0463,S049,1024,90,2024-04-22,W020,Adequate
INV00256,P0315,S009,1725,97,2024-10-04,W015,Adequate
INV00257,P0374,S017,380,461,2024-12-18,W020,Low Stock
INV00258,P0160,S069,508,126,2024-01-05,W006,Adequate
INV00259,P0096,S058,1483,227,2024-07-30,W004,Adequate
INV00260,P0472,S057,1528,306,2024-09-12,W017,Adequate
INV00261,P0233,S062,805,166,2024-11-29,W015,Adequate
INV00262,P0180,S095,475,483,2024-01-30,W018,Low Stock
INV00263,P0113,S052,1580,68,2024-12-12,W006,Adequate
INV00264,P0318,S061,953,108,2024-03-22,W020,Adequate
INV00265,P0497,S040,848,245,2024-08-23,W019,Adequate
INV00266,P0442,S038,896,156,2024-12-09,W012,Adequate
INV00267,P0052,S043,31,474,2024-12-26,W009,Low Stock
INV00268,P0268,S063,1927,443,2024-11-18,W008,Adequate
INV00269,P0295,S019,117,333,2024-09-09,W015,Low Stock
INV00270,P0386,S100,1831,83,2024-04-27,W001,Adequate
INV00271,P0387,S050,1207,344,2024-01-30,W002,Adequate
INV00272,P0113,S033,190,300,2024-04-20,W003,Low Stock
INV00273,P0101,S013,1770,175,2024-09-10,W019,Adequate
INV00274,P0113,S078,1773,388,2024-07-17,W010,Adequate
INV00275,P0440,S097,1751,155,2024-10-21,W014,Adequate
INV00276,P0081,S062,73,489,2024-12-07,W019,Low Stock
INV00277,P0187,S093,622,229,2024-10-23,W011,Adequate
INV00278,P0113,S043,1126,159,2024-10-13,W006,Adequate
INV00279,P0002,S049,870,277,2024-08-31,W019,Adequate
INV00280,P0130,S036,585,170,2024-08-08,W014,Adequate
INV00281,P0220,S010,419,156,2024-06-04,W008,Adequate
INV00282,P0054,S095,472,180,2024-08-23,W002,Adequate
INV00283,P0343,S006,1787,72,2024-11-15,W018,Adequate
INV00284,P0485,S057,113,194,2024-01-19,W004,Low Stock
INV00285,P0224,S001,1402,376,2024-08-02,W003,Adequate
INV00286,P0225,S071,1336,203,2024-04-23,W002,Adequate
INV00287,P0385,S058,329,156,2024-07-18,W004,Adequate
INV00288,P0403,S091,338,195,2024-01-25,W018,Adequate
INV00289,P0126,S021,237,301,2024-04-30,W011,Low Stock
INV00290,P0130,S092,1196,351,2024-08-17,W009,Adequate
INV00291,P0053,S080,78,119,2024-04-08,W008,Low Stock
INV00292,P0172,S056,463,80,2024-12-11,W008,Adequate
INV00293,P0218,S087,1921,142,2024-01-03,W005,Adequate
INV00294,P0160,S020,604,186,2024-09-17,W013,Adequate
INV00295,P0198,S054,1987,423,2024-09-10,W007,Adequate
INV00296,P0416,S025,1524,212,2024-01-20,W005,Adequate
INV00297,P0247,S028,561,130,2024-07-22,W013,Adequate
INV00298,P0324,S005,284,365,2024-10-20,W020,Low Stock
INV00299,P0439,S021,222,125,2024-12-22,W016,Adequate
INV00300,P0203,S018,592,112,2024-05-07,W014,Adequate
INV00301,P0184,S047,1289,149,2024-12-23,W005,Adequate
INV00302,P0123,S070,1690,485,2024-10-18,W019,Adequate
INV00303,P0401,S057,372,97,2024-06-22,W004,Adequate
INV00304,P0255,S093,1256,494,2024-08-08,W011,Adequate
INV00305,P0294,S019,910,457,2024-12-20,W002,Adequate
INV00306,P0280,S097,827,123,2024-02-06,W013,Adequate
INV00307,P0325,S065,235,363,2024-11-05,W016,Low Stock
INV00308,P0372,S003,670,241,2024-05-28,W009,Adequate
INV00309,P0098,S042,1940,79,2024-04-01,W016,Adequate
INV00310,P0198,S021,827,206,2024-03-10,W007,Adequate
INV00311,P0470,S099,762,315,2024-03-24,W016,Adequate
INV00312,P0395,S040,1337,305,2024-07-23,W013,Adequate
INV00313,P0240,S067,1960,88,2024-09-23,W005,Adequate
INV00314,P0144,S025,1965,104,2024-03-28,W015,Adequate
INV00315,P0097,S055,1836,77,2024-09-08,W007,Adequate
INV00316,P0201,S084,379,451,2024-07-29,W018,Low Stock
INV00317,P0124,S052,793,474,2024-12-08,W020,Adequate
INV00318,P0187,S044,613,167,2024-01-31,W002,Adequate
INV00319,P0326,S098,562,419,2024-12-22,W008,Adequate
INV00320,P0464,S085,419,258,2024-11-11,W010,Adequate
INV00321,P0349,S056,51,124,2024-03-01,W010,Low Stock
INV00322,P0259,S055,1744,114,2024-03-07,W011,Adequate
INV00323,P0148,S087,818,386,2024-08-13,W008,Adequate
INV00324,P0252,S070,1666,405,2024-11-30,W016,Adequate
INV00325,P0443,S077,1532,149,2024-11-22,W016,Adequate
INV00326,P0420,S087,1805,95,2024-03-07,W017,Adequate
INV00327,P0403,S073,1968,365,2024-05-07,W006,Adequate
INV00328,P0346,S081,204,442,2024-04-20,W018,Low Stock
INV00329,P0451,S066,1000,478,2024-09-28,W017,Adequate
INV00330,P0147,S019,730,493,2024-10-27,W012,Adequate
INV00331,P0148,S083,256,205,2024-02-03,W015,Adequate
INV00332,P0352,S007,184,289,2024-07-30,W007,Low Stock
INV00333,P0199,S063,144,402,2024-10-26,W014,Low Stock
INV00334,P0308,S042,1713,308,2024-05-04,W004,Adequate
INV00335,P0489,S042,1037,484,2024-04-12,W017,Adequate
INV00336,P0417,S059,245,185,2024-07-24,W011,Adequate
INV00337,P0424,S020,186,419,2024-04-29,W006,Low Stock
INV00338,P0128,S073,1360,247,2024-06-18,W010,Adequate
INV00339,P0039,S017,1282,236,2024-02-04,W015,Adequate
INV00340,P0338,S027,865,165,2024-11-26,W006,Adequate
INV00341,P0360,S047,39,494,2024-09-02,W016,Low Stock
INV00342,P0129,S002,600,107,2024-12-05,W012,Adequate
INV00343,P0267,S063,1660,119,2024-11-04,W019,Adequate
INV00344,P0476,S062,961,142,2024-02-27,W016,Adequate
INV00345,P0441,S100,1441,278,2024-11-01,W014,Adequate
INV00346,P0473,S019,985,445,2024-05-20,W006,Adequate
INV00347,P0434,S017,1374,186,2024-04-20,W009,Adequate
INV00348,P0151,S069,8,154,2024-06-11,W001,Low Stock
INV00349,P0415,S039,349,354,2024-04-20,W008,Low Stock
INV00350,P0478,S082,83,388,2024-05-31,W007,Low Stock
INV00351,P0298,S071,532,66,2024-03-05,W014,Adequate
INV00352,P0099,S081,988,103,2024-04-15,W008,Adequate
INV00353,P0263,S039,1816,161,2024-08-03,W011,Adequate
INV00354,P0252,S036,357,221,2024-03-31,W009,Adequate
INV00355,P0144,S040,377,465,2024-01-26,W019,Low Stock
INV00356,P0346,S045,171,468,2024-06-05,W007,Low Stock
INV00357,P0112,S004,1048,354,2024-03-12,W006,Adequate
INV00358,P0500,S025,392,487,2024-02-13,W018,Low Stock
INV00359,P0060,S069,1126,193,2024-03-30,W005,Adequate
INV00360,P0369,S030,701,134,2024-05-12,W019,Adequate
INV00361,P0002,S076,1259,61,2024-06-09,W011,Adequate
INV00362,P0385,S068,1433,301,2024-08-19,W005,Adequate
INV00363,P0304,S088,1848,265,2024-09-17,W009,Adequate
INV00364,P0254,S029,548,175,2024-04-20,W008,Adequate
INV00365,P0140,S073,783,147,2024-06-12,W011,Adequate
INV00366,P0453,S068,1828,441,2024-03-17,W006,Adequate
INV00367,P0037,S051,331,454,2024-07-27,W015,Low Stock
INV00368,P0160,S024,1687,353,2024-01-13,W006,Adequate
INV00369,P0009,S014,793,441,2024-02-27,W011,Adequate
INV00370,P0233,S069,1555,77,2024-12-09,W015,Adequate
INV00371,P0099,S018,648,385,2024-02-05,W012,Adequate
INV00372,P0147,S042,982,315,2024-01-25,W009,Adequate
INV00373,P0304,S057,1894,101,2024-02-03,W010,Adequate
INV00374,P0208,S083,1052,192,2024-05-19,W015,Adequate
INV00375,P0131,S012,542,181,2024-10-01,W017,Adequate
INV00376,P0404,S082,1042,395,2024-12-27,W016,Adequate
INV00377,P0152,S017,1171,256,2024-08-09,W008,Adequate
INV00378,P0054,S030,1494,111,2024-02-06,W017,Adequate
INV00379,P0120,S088,490,412,2024-12-28,W011,Adequate
INV00380,P0161,S075,282,181,2024-05-08,W011,Adequate
INV00381,P0408,S099,861,90,2024-11-11,W006,Adequate
INV00382,P0116,S023,1876,250,2024-11-18,W002,Adequate
INV00383,P0075,S081,1835,148,2024-08-05,W001,Adequate
INV00384,P0113,S001,1698,360,2024-11-30,W020,Adequate
INV00385,P0456,S079,112,333,2024-09-04,W006,Low Stock
INV00386,P0420,S032,1478,406,2024-04-20,W005,Adequate
INV00387,P0422,S009,1685,96,2024-10-30,W009,Adequate
INV00388,P0104,S015,1353,186,2024-08-07,W005,Adequate
INV00389,P0340,S028,1278,179,2024-07-14,W018,Adequate
INV00390,P0254,S024,1622,244,2024-05-26,W019,Adequate
INV00391,P0227,S060,1422,166,2024-12-09,W015,Adequate
INV00392,P0112,S035,861,413,2024-02-09,W015,Adequate
INV00393,P0473,S086,609,481,2024-05-13,W009,Adequate
INV00394,P0099,S027,1932,118,2024-12-17,W014,Adequate
INV00395,P0153,S083,507,77,2024-07-09,W005,Adequate
INV00396,P0349,S076,1667,384,2024-06-11,W017,Adequate
INV00397,P0402,S020,465,63,2024-03-01,W015,Adequate
INV00398,P0384,S065,823,95,2024-01-05,W020,Adequate
INV00399,P0366,S085,1430,446,2024-02-06,W017,Adequate
INV00400,P0338,S049,608,65,2024-08-04,W009,Adequate
INV00401,P0194,S001,1121,473,2024-08-12,W013,Adequate
INV00402,P0310,S010,289,258,2024-08-03,W013,Adequate
INV00403,P0163,S047,867,207,2024-05-18,W005,Adequate
INV00404,P0208,S059,1762,386,2024-04-15,W014,Adequate
INV00405,P0445,S096,1680,276,2024-04-08,W007,Adequate
INV00406,P0169,S062,1179,498,2024-06-16,W005,Adequate
INV00407,P0484,S086,781,290,2024-09-20,W012,Adequate
INV00408,P0161,S018,161,107,2024-03-27,W003,Adequate
INV00409,P0068,S046,623,353,2024-03-24,W009,Adequate
INV00410,P0289,S032,1866,354,2024-08-11,W010,Adequate
INV00411,P0398,S027,1720,394,2024-01-11,W001,Adequate
INV00412,P0277,S092,716,179,2024-11-22,W014,Adequate
INV00413,P0304,S018,1120,266,2024-07-04,W001,Adequate
INV00414,P0404,S039,1400,63,2024-12-15,W010,Adequate
INV00415,P0384,S049,566,408,2024-08-18,W011,Adequate
INV00416,P0392,S093,1473,426,2024-05-20,W020,Adequate
INV00417,P0135,S082,993,292,2024-04-15,W002,Adequate
INV00418,P0195,S044,1140,194,2024-09-09,W002,Adequate
INV00419,P0401,S072,1628,428,2024-02-18,W011,Adequate
INV00420,P0128,S054,1828,464,2024-09-19,W008,Adequate
INV00421,P0033,S095,1987,443,2024-07-23,W003,Adequate
INV00422,P0176,S034,1739,375,2024-12-22,W009,Adequate
INV00423,P0460,S071,1817,152,2024-02-20,W016,Adequate
INV00424,P0443,S036,1529,266,2024-06-23,W016,Adequate
INV00425,P0371,S018,1212,407,2024-08-12,W010,Adequate
INV00426,P0470,S038,1499,470,2024-09-17,W006,Adequate
INV00427,P0375,S059,1346,113,2024-08-09,W020,Adequate
INV00428,P0022,S009,595,207,2024-08-10,W020,Adequate
INV00429,P0238,S073,1993,211,2024-09-25,W020,Adequate
INV00430,P0158,S072,1203,67,2024-10-24,W011,Adequate
INV00431,P0038,S051,1809,265,2024-11-13,W008,Adequate
INV00432,P0230,S035,1204,368,2024-03-14,W020,Adequate
INV00433,P0365,S082,958,98,2024-04-23,W001,Adequate
INV00434,P0051,S005,1716,105,2024-08-06,W006,Adequate
INV00435,P0438,S014,1012,396,2024-02-23,W008,Adequate
INV00436,P0264,S092,1818,107,2024-07-18,W014,Adequate
INV00437,P0283,S030,1310,204,2024-05-10,W003,Adequate
INV00438,P0027,S004,474,104,2024-12-04,W002,Adequate
INV00439,P0226,S039,617,390,2024-07-10,W001,Adequate
