Sale_ID,Date,Store_ID,Product_ID,Quantity,Sales,Customer_Count,Payment_Method,Year,Month,Day,DayOfWeek,Quarter,Is_Weekend,Season
50,2023-01-03 01:00:00,S039,P0292,7,1993,15,Cash,2023,1,3,1,1,0,Winter
51,2023-01-03 02:00:00,S018,P0086,2,5465,45,Cash,2023,1,3,1,1,0,Winter
52,2023-01-03 03:00:00,S004,P0384,6,9818,40,Card,2023,1,3,1,1,0,Winter
53,2023-01-03 04:00:00,S089,P0457,15,6573,28,Card,2023,1,3,1,1,0,Winter
54,2023-01-03 05:00:00,S060,P0378,5,2156,12,Card,2023,1,3,1,1,0,Winter
55,2023-01-03 06:00:00,S014,P0147,5,3138,13,Cash,2023,1,3,1,1,0,Winter
56,2023-01-03 07:00:00,S009,P0500,4,1344,34,Cash,2023,1,3,1,1,0,Winter
57,2023-01-03 08:00:00,S090,P0118,13,2616,45,UPI,2023,1,3,1,1,0,Winter
58,2023-01-03 09:00:00,S053,P0135,18,1951,46,Cash,2023,1,3,1,1,0,Winter
59,2023-01-03 10:00:00,S002,P0015,1,5843,13,Card,2023,1,3,1,1,0,Winter
60,2023-01-03 11:00:00,S084,P0337,3,9198,12,Card,2023,1,3,1,1,0,Winter
61,2023-01-03 12:00:00,S092,P0302,7,1378,36,Card,2023,1,3,1,1,0,Winter
62,2023-01-03 13:00:00,S060,P0206,1,2792,21,Card,2023,1,3,1,1,0,Winter
63,2023-01-03 14:00:00,S071,P0233,14,3499,31,Cash,2023,1,3,1,1,0,Winter
64,2023-01-03 15:00:00,S044,P0304,15,1474,47,Cash,2023,1,3,1,1,0,Winter
65,2023-01-03 16:00:00,S008,P0066,16,7067,3,UPI,2023,1,3,1,1,0,Winter
66,2023-01-03 17:00:00,S047,P0462,5,9244,16,Cash,2023,1,3,1,1,0,Winter
67,2023-01-03 18:00:00,S035,P0004,3,3201,2,Card,2023,1,3,1,1,0,Winter
68,2023-01-03 19:00:00,S078,P0003,17,2012,2,UPI,2023,1,3,1,1,0,Winter
69,2023-01-03 20:00:00,S081,P0259,5,8734,47,Card,2023,1,3,1,1,0,Winter
70,2023-01-03 21:00:00,S036,P0203,1,8794,48,UPI,2023,1,3,1,1,0,Winter
71,2023-01-03 22:00:00,S050,P0325,13,1918,34,Card,2023,1,3,1,1,0,Winter
72,2023-01-03 23:00:00,S004,P0240,18,3657,27,Card,2023,1,3,1,1,0,Winter
73,2023-01-04 00:00:00,S002,P0093,1,9029,26,Cash,2023,1,4,2,1,0,Winter
74,2023-01-04 01:00:00,S006,P0284,19,4641,11,UPI,2023,1,4,2,1,0,Winter
75,2023-01-04 02:00:00,S054,P0023,6,7264,43,Card,2023,1,4,2,1,0,Winter
76,2023-01-04 03:00:00,S004,P0286,9,1164,22,UPI,2023,1,4,2,1,0,Winter
77,2023-01-04 04:00:00,S054,P0318,14,5004,3,Cash,2023,1,4,2,1,0,Winter
78,2023-01-04 05:00:00,S093,P0087,11,8362,10,UPI,2023,1,4,2,1,0,Winter
79,2023-01-04 06:00:00,S063,P0051,4,3789,44,Card,2023,1,4,2,1,0,Winter
80,2023-01-04 07:00:00,S018,P0297,7,9885,33,Cash,2023,1,4,2,1,0,Winter
81,2023-01-04 08:00:00,S090,P0470,18,8703,1,Card,2023,1,4,2,1,0,Winter
82,2023-01-04 09:00:00,S044,P0320,18,6570,33,Cash,2023,1,4,2,1,0,Winter
83,2023-01-04 10:00:00,S034,P0043,6,7198,15,Card,2023,1,4,2,1,0,Winter
84,2023-01-04 11:00:00,S074,P0204,5,7160,50,Card,2023,1,4,2,1,0,Winter
85,2023-01-04 12:00:00,S062,P0347,6,5417,10,UPI,2023,1,4,2,1,0,Winter
86,2023-01-04 13:00:00,S100,P0058,2,6404,30,UPI,2023,1,4,2,1,0,Winter
87,2023-01-04 14:00:00,S014,P0059,2,3347,13,Cash,2023,1,4,2,1,0,Winter
88,2023-01-04 15:00:00,S095,P0168,1,8213,48,UPI,2023,1,4,2,1,0,Winter
89,2023-01-04 16:00:00,S048,P0174,18,6318,38,UPI,2023,1,4,2,1,0,Winter
90,2023-01-04 17:00:00,S015,P0318,10,6365,26,Card,2023,1,4,2,1,0,Winter
91,2023-01-04 18:00:00,S072,P0433,7,1592,25,Card,2023,1,4,2,1,0,Winter
92,2023-01-04 19:00:00,S078,P0372,2,6221,33,UPI,2023,1,4,2,1,0,Winter
93,2023-01-04 20:00:00,S087,P0207,19,9591,42,UPI,2023,1,4,2,1,0,Winter
94,2023-01-04 21:00:00,S062,P0111,10,9824,15,UPI,2023,1,4,2,1,0,Winter
95,2023-01-04 22:00:00,S040,P0023,12,2247,26,Card,2023,1,4,2,1,0,Winter
96,2023-01-04 23:00:00,S085,P0428,12,7634,26,UPI,2023,1,4,2,1,0,Winter
97,2023-01-05 00:00:00,S080,P0233,15,1517,45,UPI,2023,1,5,3,1,0,Winter
98,2023-01-05 01:00:00,S082,P0428,18,5947,45,Cash,2023,1,5,3,1,0,Winter
99,2023-01-05 02:00:00,S053,P0275,1,3897,17,Cash,2023,1,5,3,1,0,Winter
100,2023-01-05 03:00:00,S024,P0172,6,3934,30,Card,2023,1,5,3,1,0,Winter
101,2023-01-05 04:00:00,S026,P0011,9,5836,16,UPI,2023,1,5,3,1,0,Winter
102,2023-01-05 05:00:00,S089,P0060,6,4993,46,Cash,2023,1,5,3,1,0,Winter
103,2023-01-05 06:00:00,S060,P0422,6,6618,42,Card,2023,1,5,3,1,0,Winter
104,2023-01-05 07:00:00,S041,P0232,6,8879,2,Card,2023,1,5,3,1,0,Winter
105,2023-01-05 08:00:00,S029,P0235,16,5058,12,Card,2023,1,5,3,1,0,Winter
106,2023-01-05 09:00:00,S015,P0003,15,9420,36,Cash,2023,1,5,3,1,0,Winter
107,2023-01-05 10:00:00,S045,P0144,8,4992,13,UPI,2023,1,5,3,1,0,Winter
108,2023-01-05 11:00:00,S065,P0480,2,8721,29,Card,2023,1,5,3,1,0,Winter
109,2023-01-05 12:00:00,S089,P0230,11,6853,5,UPI,2023,1,5,3,1,0,Winter
110,2023-01-05 13:00:00,S071,P0009,9,4101,29,Card,2023,1,5,3,1,0,Winter
111,2023-01-05 14:00:00,S009,P0297,16,5452,44,UPI,2023,1,5,3,1,0,Winter
112,2023-01-05 15:00:00,S088,P0294,2,3615,23,UPI,2023,1,5,3,1,0,Winter
113,2023-01-05 16:00:00,S001,P0325,11,7339,38,Cash,2023,1,5,3,1,0,Winter
114,2023-01-05 17:00:00,S008,P0193,17,3450,43,Card,2023,1,5,3,1,0,Winter
115,2023-01-05 18:00:00,S088,P0291,6,8550,24,Cash,2023,1,5,3,1,0,Winter
116,2023-01-05 19:00:00,S063,P0127,6,1746,23,Card,2023,1,5,3,1,0,Winter
117,2023-01-05 20:00:00,S011,P0419,9,5052,39,UPI,2023,1,5,3,1,0,Winter
118,2023-01-05 21:00:00,S081,P0460,1,948,41,UPI,2023,1,5,3,1,0,Winter
119,2023-01-05 22:00:00,S008,P0484,12,2566,12,Cash,2023,1,5,3,1,0,Winter
120,2023-01-05 23:00:00,S035,P0469,11,3667,17,Cash,2023,1,5,3,1,0,Winter
121,2023-01-06 00:00:00,S035,P0048,17,4258,32,Cash,2023,1,6,4,1,0,Winter
122,2023-01-06 01:00:00,S033,P0107,7,1856,23,UPI,2023,1,6,4,1,0,Winter
123,2023-01-06 02:00:00,S005,P0264,4,1891,6,Card,2023,1,6,4,1,0,Winter
124,2023-01-06 03:00:00,S041,P0253,9,5507,50,Card,2023,1,6,4,1,0,Winter
125,2023-01-06 04:00:00,S028,P0027,19,3092,39,UPI,2023,1,6,4,1,0,Winter
126,2023-01-06 05:00:00,S007,P0009,15,2134,2,UPI,2023,1,6,4,1,0,Winter
127,2023-01-06 06:00:00,S073,P0220,6,7544,50,UPI,2023,1,6,4,1,0,Winter
128,2023-01-06 07:00:00,S072,P0158,4,6271,9,Card,2023,1,6,4,1,0,Winter
129,2023-01-06 08:00:00,S012,P0014,5,4412,3,UPI,2023,1,6,4,1,0,Winter
130,2023-01-06 09:00:00,S034,P0407,13,8372,41,Cash,2023,1,6,4,1,0,Winter
131,2023-01-06 10:00:00,S033,P0029,5,9652,22,Card,2023,1,6,4,1,0,Winter
132,2023-01-06 11:00:00,S048,P0026,2,7970,36,UPI,2023,1,6,4,1,0,Winter
133,2023-01-06 12:00:00,S023,P0214,11,6010,47,Card,2023,1,6,4,1,0,Winter
134,2023-01-06 13:00:00,S062,P0143,18,2570,46,UPI,2023,1,6,4,1,0,Winter
135,2023-01-06 14:00:00,S088,P0115,15,7428,11,Cash,2023,1,6,4,1,0,Winter
136,2023-01-06 15:00:00,S037,P0329,17,3121,39,UPI,2023,1,6,4,1,0,Winter
137,2023-01-06 16:00:00,S099,P0218,17,1370,46,UPI,2023,1,6,4,1,0,Winter
138,2023-01-06 17:00:00,S044,P0081,20,1507,39,Cash,2023,1,6,4,1,0,Winter
139,2023-01-06 18:00:00,S086,P0201,19,2729,12,Cash,2023,1,6,4,1,0,Winter
140,2023-01-06 19:00:00,S091,P0067,20,530,4,UPI,2023,1,6,4,1,0,Winter
141,2023-01-06 20:00:00,S035,P0249,16,8094,6,Card,2023,1,6,4,1,0,Winter
142,2023-01-06 21:00:00,S065,P0144,11,4605,36,Card,2023,1,6,4,1,0,Winter
143,2023-01-06 22:00:00,S099,P0141,17,7277,15,Card,2023,1,6,4,1,0,Winter
144,2023-01-06 23:00:00,S047,P0346,8,7295,15,Cash,2023,1,6,4,1,0,Winter
145,2023-01-07 00:00:00,S078,P0465,8,3311,40,Cash,2023,1,7,5,1,1,Winter
146,2023-01-07 01:00:00,S003,P0096,12,6424,21,UPI,2023,1,7,5,1,1,Winter
147,2023-01-07 02:00:00,S001,P0408,15,7188,30,Card,2023,1,7,5,1,1,Winter
148,2023-01-07 03:00:00,S005,P0118,4,8352,17,UPI,2023,1,7,5,1,1,Winter
149,2023-01-07 04:00:00,S090,P0318,8,7135,12,Card,2023,1,7,5,1,1,Winter
150,2023-01-07 05:00:00,S014,P0185,15,9279,7,Cash,2023,1,7,5,1,1,Winter
151,2023-01-07 06:00:00,S027,P0292,5,5262,41,UPI,2023,1,7,5,1,1,Winter
152,2023-01-07 07:00:00,S009,P0444,10,2142,10,Card,2023,1,7,5,1,1,Winter
153,2023-01-07 08:00:00,S079,P0245,20,3030,16,Card,2023,1,7,5,1,1,Winter
154,2023-01-07 09:00:00,S015,P0470,19,596,6,Cash,2023,1,7,5,1,1,Winter
155,2023-01-07 10:00:00,S090,P0380,15,5482,21,Card,2023,1,7,5,1,1,Winter
156,2023-01-07 11:00:00,S042,P0201,6,8709,22,Card,2023,1,7,5,1,1,Winter
157,2023-01-07 12:00:00,S077,P0278,9,1475,39,UPI,2023,1,7,5,1,1,Winter
158,2023-01-07 13:00:00,S051,P0361,6,3252,45,Cash,2023,1,7,5,1,1,Winter
159,2023-01-07 14:00:00,S063,P0370,9,3906,13,Card,2023,1,7,5,1,1,Winter
160,2023-01-07 15:00:00,S096,P0110,8,4273,43,UPI,2023,1,7,5,1,1,Winter
161,2023-01-07 16:00:00,S052,P0212,16,2121,5,UPI,2023,1,7,5,1,1,Winter
162,2023-01-07 17:00:00,S096,P0259,10,5168,4,UPI,2023,1,7,5,1,1,Winter
163,2023-01-07 18:00:00,S004,P0164,9,8487,20,UPI,2023,1,7,5,1,1,Winter
164,2023-01-07 19:00:00,S094,P0097,8,5076,3,Card,2023,1,7,5,1,1,Winter
165,2023-01-07 20:00:00,S023,P0210,14,6575,24,Cash,2023,1,7,5,1,1,Winter
166,2023-01-07 21:00:00,S015,P0036,7,8587,22,Cash,2023,1,7,5,1,1,Winter
167,2023-01-07 22:00:00,S043,P0266,11,7343,9,UPI,2023,1,7,5,1,1,Winter
168,2023-01-07 23:00:00,S029,P0100,20,9469,31,Cash,2023,1,7,5,1,1,Winter
169,2023-01-08 00:00:00,S036,P0021,16,5921,15,UPI,2023,1,8,6,1,1,Winter
170,2023-01-08 01:00:00,S013,P0217,17,6583,42,Card,2023,1,8,6,1,1,Winter
171,2023-01-08 02:00:00,S032,P0433,8,3174,7,UPI,2023,1,8,6,1,1,Winter
172,2023-01-08 03:00:00,S071,P0104,12,4857,15,UPI,2023,1,8,6,1,1,Winter
173,2023-01-08 04:00:00,S059,P0371,17,833,16,Cash,2023,1,8,6,1,1,Winter
174,2023-01-08 05:00:00,S086,P0393,15,9582,38,Card,2023,1,8,6,1,1,Winter
175,2023-01-08 06:00:00,S028,P0112,7,7279,16,UPI,2023,1,8,6,1,1,Winter
176,2023-01-08 07:00:00,S066,P0219,19,8005,4,UPI,2023,1,8,6,1,1,Winter
177,2023-01-08 08:00:00,S042,P0120,17,9750,33,Card,2023,1,8,6,1,1,Winter
178,2023-01-08 09:00:00,S045,P0249,13,8151,25,Card,2023,1,8,6,1,1,Winter
179,2023-01-08 10:00:00,S062,P0335,8,2068,4,Card,2023,1,8,6,1,1,Winter
180,2023-01-08 11:00:00,S057,P0436,14,7378,15,UPI,2023,1,8,6,1,1,Winter
181,2023-01-08 12:00:00,S006,P0096,8,3442,12,Card,2023,1,8,6,1,1,Winter
182,2023-01-08 13:00:00,S028,P0432,14,8226,45,Card,2023,1,8,6,1,1,Winter
183,2023-01-08 14:00:00,S028,P0188,5,2145,41,Card,2023,1,8,6,1,1,Winter
184,2023-01-08 15:00:00,S044,P0364,12,7095,36,Card,2023,1,8,6,1,1,Winter
185,2023-01-08 16:00:00,S084,P0375,20,9708,40,Cash,2023,1,8,6,1,1,Winter
186,2023-01-08 17:00:00,S030,P0434,11,2165,10,Card,2023,1,8,6,1,1,Winter
187,2023-01-08 18:00:00,S062,P0423,4,8524,2,UPI,2023,1,8,6,1,1,Winter
188,2023-01-08 19:00:00,S075,P0144,20,4071,8,Cash,2023,1,8,6,1,1,Winter
189,2023-01-08 20:00:00,S092,P0028,2,2530,4,UPI,2023,1,8,6,1,1,Winter
190,2023-01-08 21:00:00,S089,P0499,10,5976,24,UPI,2023,1,8,6,1,1,Winter
191,2023-01-08 22:00:00,S062,P0006,10,6384,4,Cash,2023,1,8,6,1,1,Winter
192,2023-01-08 23:00:00,S097,P0317,7,1161,48,Cash,2023,1,8,6,1,1,Winter
193,2023-01-09 00:00:00,S001,P0262,12,3428,12,Card,2023,1,9,0,1,0,Winter
194,2023-01-09 01:00:00,S027,P0230,16,8088,48,Card,2023,1,9,0,1,0,Winter
195,2023-01-09 02:00:00,S062,P0122,10,9844,20,Cash,2023,1,9,0,1,0,Winter
196,2023-01-09 03:00:00,S077,P0495,8,3555,35,Cash,2023,1,9,0,1,0,Winter
197,2023-01-09 04:00:00,S003,P0194,8,5313,35,Card,2023,1,9,0,1,0,Winter
198,2023-01-09 05:00:00,S070,P0105,5,8058,9,Card,2023,1,9,0,1,0,Winter
199,2023-01-09 06:00:00,S072,P0424,4,4918,11,Card,2023,1,9,0,1,0,Winter
200,2023-01-09 07:00:00,S027,P0199,12,8040,30,Card,2023,1,9,0,1,0,Winter
201,2023-01-09 08:00:00,S009,P0475,11,6224,37,UPI,2023,1,9,0,1,0,Winter
202,2023-01-09 09:00:00,S062,P0062,15,1792,18,Card,2023,1,9,0,1,0,Winter
203,2023-01-09 10:00:00,S037,P0284,13,8680,36,UPI,2023,1,9,0,1,0,Winter
204,2023-01-09 11:00:00,S097,P0080,1,6106,45,Cash,2023,1,9,0,1,0,Winter
205,2023-01-09 12:00:00,S051,P0175,5,3815,14,UPI,2023,1,9,0,1,0,Winter
206,2023-01-09 13:00:00,S044,P0009,6,1644,22,UPI,2023,1,9,0,1,0,Winter
207,2023-01-09 14:00:00,S024,P0180,13,4934,6,Cash,2023,1,9,0,1,0,Winter
208,2023-01-09 15:00:00,S079,P0271,10,9119,35,Cash,2023,1,9,0,1,0,Winter
209,2023-01-09 16:00:00,S059,P0162,12,4293,4,Card,2023,1,9,0,1,0,Winter
210,2023-01-09 17:00:00,S032,P0276,3,5282,38,Card,2023,1,9,0,1,0,Winter
211,2023-01-09 18:00:00,S096,P0206,11,9878,47,Card,2023,1,9,0,1,0,Winter
212,2023-01-09 19:00:00,S088,P0060,15,2088,49,UPI,2023,1,9,0,1,0,Winter
213,2023-01-09 20:00:00,S052,P0186,17,9597,9,Cash,2023,1,9,0,1,0,Winter
214,2023-01-09 21:00:00,S062,P0075,5,7514,28,UPI,2023,1,9,0,1,0,Winter
215,2023-01-09 22:00:00,S058,P0094,5,9460,13,Cash,2023,1,9,0,1,0,Winter
216,2023-01-09 23:00:00,S052,P0067,11,5240,39,Card,2023,1,9,0,1,0,Winter
217,2023-01-10 00:00:00,S012,P0002,8,7315,10,Cash,2023,1,10,1,1,0,Winter
218,2023-01-10 01:00:00,S039,P0178,11,8032,30,Cash,2023,1,10,1,1,0,Winter
219,2023-01-10 02:00:00,S002,P0142,20,5970,11,Card,2023,1,10,1,1,0,Winter
220,2023-01-10 03:00:00,S003,P0440,15,6287,18,UPI,2023,1,10,1,1,0,Winter
221,2023-01-10 04:00:00,S056,P0477,9,826,44,Card,2023,1,10,1,1,0,Winter
222,2023-01-10 05:00:00,S081,P0453,18,8807,29,Cash,2023,1,10,1,1,0,Winter
223,2023-01-10 06:00:00,S059,P0044,6,3295,10,UPI,2023,1,10,1,1,0,Winter
224,2023-01-10 07:00:00,S002,P0174,6,4926,6,UPI,2023,1,10,1,1,0,Winter
225,2023-01-10 08:00:00,S002,P0390,11,2758,12,Cash,2023,1,10,1,1,0,Winter
226,2023-01-10 09:00:00,S092,P0392,20,9379,20,Card,2023,1,10,1,1,0,Winter
227,2023-01-10 10:00:00,S054,P0295,3,7626,49,Card,2023,1,10,1,1,0,Winter
228,2023-01-10 11:00:00,S087,P0231,11,8377,10,Cash,2023,1,10,1,1,0,Winter
229,2023-01-10 12:00:00,S096,P0236,3,788,16,Cash,2023,1,10,1,1,0,Winter
230,2023-01-10 13:00:00,S097,P0093,18,5642,46,UPI,2023,1,10,1,1,0,Winter
231,2023-01-10 14:00:00,S001,P0487,3,3408,46,Card,2023,1,10,1,1,0,Winter
232,2023-01-10 15:00:00,S019,P0044,20,9307,1,UPI,2023,1,10,1,1,0,Winter
233,2023-01-10 16:00:00,S002,P0027,10,7633,34,Cash,2023,1,10,1,1,0,Winter
234,2023-01-10 17:00:00,S053,P0272,4,7281,48,UPI,2023,1,10,1,1,0,Winter
235,2023-01-10 18:00:00,S044,P0475,4,4409,49,UPI,2023,1,10,1,1,0,Winter
236,2023-01-10 19:00:00,S090,P0039,1,2677,16,Card,2023,1,10,1,1,0,Winter
237,2023-01-10 20:00:00,S032,P0488,17,4248,43,UPI,2023,1,10,1,1,0,Winter
238,2023-01-10 21:00:00,S070,P0385,6,7499,49,Card,2023,1,10,1,1,0,Winter
239,2023-01-10 22:00:00,S032,P0493,4,3639,37,Card,2023,1,10,1,1,0,Winter
240,2023-01-10 23:00:00,S068,P0435,9,8168,17,Card,2023,1,10,1,1,0,Winter
241,2023-01-11 00:00:00,S055,P0447,10,5136,17,Cash,2023,1,11,2,1,0,Winter
242,2023-01-11 01:00:00,S075,P0289,5,9569,10,Cash,2023,1,11,2,1,0,Winter
243,2023-01-11 02:00:00,S056,P0248,8,8141,14,UPI,2023,1,11,2,1,0,Winter
244,2023-01-11 03:00:00,S017,P0050,18,7375,40,Card,2023,1,11,2,1,0,Winter
245,2023-01-11 04:00:00,S038,P0359,8,6802,49,Card,2023,1,11,2,1,0,Winter
246,2023-01-11 05:00:00,S024,P0438,18,1224,39,UPI,2023,1,11,2,1,0,Winter
247,2023-01-11 06:00:00,S069,P0283,7,8595,48,Cash,2023,1,11,2,1,0,Winter
248,2023-01-11 07:00:00,S098,P0209,8,2359,23,UPI,2023,1,11,2,1,0,Winter
249,2023-01-11 08:00:00,S070,P0124,7,3757,48,UPI,2023,1,11,2,1,0,Winter
250,2023-01-11 09:00:00,S086,P0463,19,6665,35,UPI,2023,1,11,2,1,0,Winter
251,2023-01-11 10:00:00,S011,P0342,11,5369,6,UPI,2023,1,11,2,1,0,Winter
252,2023-01-11 11:00:00,S016,P0249,11,9525,28,UPI,2023,1,11,2,1,0,Winter
253,2023-01-11 12:00:00,S097,P0403,3,3118,40,UPI,2023,1,11,2,1,0,Winter
254,2023-01-11 13:00:00,S073,P0284,20,1187,18,UPI,2023,1,11,2,1,0,Winter
255,2023-01-11 14:00:00,S059,P0151,13,1885,38,Cash,2023,1,11,2,1,0,Winter
256,2023-01-11 15:00:00,S070,P0064,10,854,24,UPI,2023,1,11,2,1,0,Winter
257,2023-01-11 16:00:00,S080,P0484,6,2265,13,Cash,2023,1,11,2,1,0,Winter
258,2023-01-11 17:00:00,S093,P0241,3,7560,3,Card,2023,1,11,2,1,0,Winter
259,2023-01-11 18:00:00,S003,P0167,10,8217,47,UPI,2023,1,11,2,1,0,Winter
260,2023-01-11 19:00:00,S020,P0240,2,5311,36,Card,2023,1,11,2,1,0,Winter
261,2023-01-11 20:00:00,S059,P0049,1,2910,13,Card,2023,1,11,2,1,0,Winter
262,2023-01-11 21:00:00,S036,P0187,12,3062,15,UPI,2023,1,11,2,1,0,Winter
263,2023-01-11 22:00:00,S019,P0148,4,3299,32,UPI,2023,1,11,2,1,0,Winter
264,2023-01-11 23:00:00,S090,P0189,20,6927,18,Cash,2023,1,11,2,1,0,Winter
265,2023-01-12 00:00:00,S067,P0111,11,7984,10,Card,2023,1,12,3,1,0,Winter
266,2023-01-12 01:00:00,S019,P0384,1,4574,9,Cash,2023,1,12,3,1,0,Winter
267,2023-01-12 02:00:00,S020,P0265,16,572,3,Cash,2023,1,12,3,1,0,Winter
268,2023-01-12 03:00:00,S096,P0279,6,4087,29,UPI,2023,1,12,3,1,0,Winter
269,2023-01-12 04:00:00,S071,P0237,15,6990,15,UPI,2023,1,12,3,1,0,Winter
270,2023-01-12 05:00:00,S052,P0391,10,5494,49,Cash,2023,1,12,3,1,0,Winter
271,2023-01-12 06:00:00,S033,P0159,8,5436,9,Card,2023,1,12,3,1,0,Winter
272,2023-01-12 07:00:00,S040,P0060,17,5350,31,Cash,2023,1,12,3,1,0,Winter
273,2023-01-12 08:00:00,S039,P0499,13,6818,32,Cash,2023,1,12,3,1,0,Winter
274,2023-01-12 09:00:00,S082,P0317,9,6806,5,Card,2023,1,12,3,1,0,Winter
275,2023-01-12 10:00:00,S001,P0075,6,7124,21,Cash,2023,1,12,3,1,0,Winter
276,2023-01-12 11:00:00,S011,P0488,17,6018,3,Cash,2023,1,12,3,1,0,Winter
277,2023-01-12 12:00:00,S092,P0465,2,3537,49,Card,2023,1,12,3,1,0,Winter
278,2023-01-12 13:00:00,S057,P0228,18,6490,48,Cash,2023,1,12,3,1,0,Winter
279,2023-01-12 14:00:00,S089,P0154,16,7570,44,UPI,2023,1,12,3,1,0,Winter
